owner_name,change_no,captain,vice_captain,from_day
Pritesh,1,Abhishek Sharma,Rishabh Pant,1
Somansh,1,Travis Head,Aiden Markram,1
Wilfred,1,Hardik Pandya,Mitchell Marsh,1
Rachita,1,Shreyas Iyer,Shubman Gill,1
Digant,1,Ravindra Jadeja,Shimron Hetmyer,1
Nishant,1,Ishan Kishan,Suryakumar Yadav,1
Sudeesh,1,Rashid Khan,Virat Kohli,1
Raaj,1,Sanju Samson,Rohit Sharma,1
Krunal,1,KL Rahul,Varun Chakravarthy,1
Prathamesh,1,Phil Salt,Vaibhav Sooryavanshi,1
Krunal,2,KL Rahul,Jos Buttler,13
Wilfred,2,Sai Sudharsan,Mitchell Marsh,17
Wilfred,3,Sai Sudharsan,Hardik Pandya,17
Digant,2,Ravindra Jadeja,Angkrish Raghuvanshi,21
Sudeesh,2,Yashasvi Jaiswal,Virat Kohli,26
Prathamesh,2,Heinrich Klaasen,Vaibhav Sooryavanshi,34
