owner_name,player_name,franchise,bid_price,role,released_injured,day1,day2,day3,day4,day5,day6,day7
Krunal,Ajinkya Rahane,KKR,760,Batter,N,,125,,,,20,
Krunal,Anshul Kamboj,CSK,200,All-rounder,N,,,91,,,,
Krunal,Harpreet Brar,PBKS,320,All-rounder,N,,,,0,,,
Krunal,Kartik Tyagi,KKR,100,Bowler,N,,41,,,,43,
Krunal,KL Rahul,DC,1050,Wicketkeeper,N,,,,,10,,
Krunal,Mukesh Kumar,DC,200,Bowler,N,,,,,39,,
Krunal,Rahul Tewatia,GT,200,All-rounder,N,,,,19,,,
Krunal,Shivam Dube,CSK,810,All-rounder,N,,,16,,,,
Krunal,Washington Sundar,GT,890,All-rounder,N,,,,74,,,
Krunal,Yuzvendra Chahal,PBKS,700,Bowler,N,,,,73,,,
Krunal,Dewald Brevis,CSK,820,Batter,N,,,0,,,,
Krunal,Jos Buttler,GT,1200,Wicketkeeper,N,,,,78,,,
Krunal,Kagiso Rabada,GT,750,Bowler,N,,,,37,,,
Krunal,Varun Chakravarthy,KKR,790,Bowler,N,,3,,,,15,
Krunal,Josh Inglis,LSG,100,Batter,N,,,,,0,,
Krunal,Mitchell Santner,MI,650,All-rounder,N,,0,,,,,
Krunal,Corbin Bosch,MI,200,All-rounder,N,,0,,,,,
Krunal,Josh Hazlewood,RCB,250,Bowler,N,0,,,,,,
Digant,Abdul Samad,LSG,360,Batter,N,,,,,72,,
Digant,Angkrish Raghuvanshi,KKR,320,Bowler,N,,105,,,,106,
Digant,Aniket Verma,SRH,270,Wicketkeeper,N,93,,,,,13,
Digant,Ashutosh Sharma,DC,390,Bowler,N,,,,,0,,
Digant,Digvesh Rathi,LSG,490,All-rounder,N,,,,,0,,
Digant,Jasprit Bumrah,MI,2050,All-rounder,N,,8,,,,,
Digant,Jaydev Unadkat,SRH,310,Batter,N,52,,,,,129,
Digant,Jitesh Sharma,RCB,760,Batter,N,10,,,,,,
Digant,Khaleel Ahmed,CSK,450,Batter,N,,,18,,,,
Digant,Nehal Wadhera,PBKS,660,Bowler,N,,,,7,,,
Digant,Ravindra Jadeja,RR,660,Bowler,N,,,85,,,,
Digant,Sandeep Sharma,RR,500,Batter,N,,,37,,,,
Digant,Vipraj Nigam,DC,450,Wicketkeeper,N,,,,,0,,
Digant,Matthew Short,CSK,100,All-rounder,N,,,6,,,,
Digant,Pathum Nissanka,DC,700,Batter,N,,,,,5,,
Digant,Shimron Hetmyer,RR,910,Bowler,N,,,10,,,,
Digant,Bonus-Digant,NA,NA,NA,N,300,,,,,,
Wilfred,Abishek Porel,DC,410,Wicketkeeper,N,,,,,0,,
Wilfred,Hardik Pandya,MI,1800,All-rounder,N,,77,,,,,
Wilfred,Harshal Patel,SRH,460,All-rounder,N,1,,,,,0,
Wilfred,Mangesh Yadav,RCB,130,All-rounder,N,0,,,,,,
Wilfred,Mukesh Choudhary,CSK,100,Bowler,N,,,0,,,,
Wilfred,Rasikh Salam,RCB,120,Bowler,N,0,,,,,,
Wilfred,Sai Sudharsan,GT,1200,Batter,N,,,,25,,,
Wilfred,Salil Arora,SRH,100,Wicketkeeper,N,19,,,,,2,
Wilfred,Vignesh Puthur,RR,100,Bowler,N,,,0,,,,
Wilfred,M Shahrukh Khan,GT,120,Batter,N,,,,8,,,
Wilfred,Sunil Narine,KKR,860,All-rounder,N,,38,,,,34,
Wilfred,Cameron Green,KKR,1000,All-rounder,N,,38,,,,14,
Wilfred,Tim Seifert,KKR,320,Wicketkeeper,N,,0,,,,0,
Wilfred,Mitchell Marsh,LSG,1550,Batter,N,,,,,69,,
Wilfred,Marco Jansen,PBKS,810,All-rounder,N,,,,69,,,
Wilfred,Donovan Ferreira,RR,130,Wicketkeeper,N,,,0,,,,
Wilfred,Jacob Bethell,RCB,730,All-rounder,N,0,,,,,,
Somansh,Ashok Sharma,GT,100,Bowler,N,,,,48,,,
Somansh,Auqib Dar,DC,110,All-rounder,N,,,,,0,,
Somansh,Bhuvneshwar Kumar,RCB,640,Bowler,N,43,,,,,,
Somansh,Kartik Sharma,CSK,100,Wicketkeeper,N,,,28,,,,
Somansh,Ramandeep Singh,KKR,100,Batter,N,,8,,,,26,
Somansh,Ravi Bishnoi,RR,690,Bowler,N,,,62,,,,
Somansh,Sai Kishore,GT,720,Bowler,N,,,,0,,,
Somansh,Shashank Singh,PBKS,290,Batter,N,,,,8,,,
Somansh,Shubham Dubey,RR,100,Batter,N,,,0,,,,
Somansh,Suyash Sharma,RCB,430,Bowler,N,40,,,,,,
Somansh,Tilak Varma,MI,1250,Batter,N,,58,,,,,
Somansh,Finn Allen,KKR,1100,Wicketkeeper,N,,87,,,,70,
Somansh,Aiden Markram,LSG,1250,Batter,N,,,,,27,,
Somansh,Nicholas Pooran,LSG,1150,Wicketkeeper,N,,,,,16,,
Somansh,Vijaykumar Vyshak,PBKS,100,Bowler,N,,,,106,,,
Somansh,Travis Head,SRH,1550,Batter,N,23,,,,,102,
Somansh,Brydon Carse,SRH,300,All-rounder,N,0,,,,,0,
Pritesh,Abhishek Sharma,SRH,1650,All-rounder,N,17,,,,,103,
Pritesh,Arshdeep Singh,PBKS,890,Bowler,N,,,,27,,,
Pritesh,Ayush Mhatre,CSK,420,Batter,N,,,2,,,,
Pritesh,Devdutt Padikkal,RCB,590,Batter,N,159,,,,,,
Pritesh,Harsh Dubey,SRH,120,All-rounder,N,45,,,,,62,
Pritesh,Mayank Markande,MI,260,Bowler,N,,5,,,,,
Pritesh,Naman Dhir,MI,400,All-rounder,N,,13,,,,,
Pritesh,Priyansh Arya,PBKS,790,All-rounder,N,,,,17,,,
Pritesh,Rahul Tripathi,KKR,250,Batter,N,,0,,,,0,
Pritesh,Rishabh Pant,LSG,1550,Wicketkeeper,N,,,,,23,,
Pritesh,Vaibhav Arora,KKR,100,Bowler,N,,36,,,,78,
Pritesh,Noor Ahmad,CSK,580,Bowler,N,,,3,,,,
Pritesh,Mitchell Starc,DC,210,Bowler,N,,,,,0,,
Pritesh,Lungi Ngidi,DC,540,Bowler,N,,,,,115,,
Pritesh,Trent Boult,MI,850,Bowler,N,,11,,,,,
Pritesh,Nandre Burger,RR,100,Bowler,N,,,88,,,,
Pritesh,Romario Shepherd,RCB,600,All-rounder,N,97,,,,,,
Pritesh,Jacob Duffy,RCB,100,Bowler,N,115,,,,,,
Nishant,Ishan Kishan,SRH,1550,Wicketkeeper,N,164,,,,,46,
Nishant,Karun Nair,DC,280,Batter,N,,,,,0,,
Nishant,Kuldeep Yadav,DC,900,Bowler,N,,,,,88,,
Nishant,Prabhsimran Singh,PBKS,1250,Wicketkeeper,N,,,,77,,,
Nishant,Prashant Veer,CSK,350,All-rounder,N,,,0,,,,
Nishant,Prasidh Krishna,GT,360,Bowler,N,,,,117,,,
Nishant,Riyan Parag,RR,1000,Batter,N,,,28,,,,
Nishant,Zeeshan Ansari,SRH,450,Bowler,N,0,,,,,0,
Nishant,Matt Henry,CSK,340,Bowler,N,,,9,,,,
Nishant,Glenn Phillips,GT,710,All-rounder,N,,,,45,,,
Nishant,Rovman Powell,KKR,100,All-rounder,N,,0,,,,0,
Nishant,Suryakumar Yadav,MI,1850,Batter,N,,32,,,,,
Nishant,AM Ghazanfar,MI,110,Bowler,N,,4,,,,,
Nishant,Azmatullah Omarzai,PBKS,360,All-rounder,N,,,,0,,,
Nishant,Cooper Connolly,PBKS,270,All-rounder,N,,,,146,,,
Nishant,Dasun Shanaka,RR,120,All-rounder,N,,,0,,,,
Rachita,Ashwani Kumar,MI,140,Bowler,N,,0,,,,,
Rachita,Ayush Badoni,LSG,320,All-rounder,N,,,,,2,,
Rachita,Kuldeep Sen,RR,220,Bowler,N,,,0,,,,
Rachita,Nitish Kumar Reddy,SRH,400,All-rounder,N,10,,,,,138,
Rachita,Rachin Ravindra,KKR,750,All-rounder,N,,0,,,,0,
Rachita,Rajat Patidar,RCB,770,Batter,N,71,,,,,,
Rachita,Sameer Rizvi,DC,250,Batter,N,,,,,128,,
Rachita,Sarfaraz Khan,CSK,300,Batter,N,,,45,,,,
Rachita,Shreyas Iyer,PBKS,1100,Batter,N,,,,46,,,
Rachita,Shubman Gill,GT,1800,Batter,N,,,,89,,,
Rachita,Venkatesh Iyer,RCB,530,All-rounder,N,0,,,,,,
Rachita,Akeal Hosein,CSK,150,Bowler,N,,,0,,,,
Rachita,Tristan Stubbs,DC,600,Batter,N,,,,,81,,
Rachita,Jason Holder,GT,450,All-rounder,N,,,,0,,,
Rachita,Manimaran Siddharth,LSG,180,Bowler,N,,,,,0,,
Rachita,Will Jacks,MI,700,All-rounder,N,,0,,,,,
Rachita,Sherfane Rutherford,MI,220,Batter,N,,12,,,,,
Rachita,Marcus Stoinis,PBKS,820,All-rounder,N,,,,2,,,
Rachita,Bonus-Rachita,NA,NA,NA,N,150,,,,,,
Prathamesh,Dhruv Jurel,RR,310,Wicketkeeper,N,,,60,,,,
Prathamesh,Manish Pandey,KKR,150,Batter,N,,0,,,,0,
Prathamesh,Nitish Rana,DC,750,Batter,N,,,,,33,,
Prathamesh,Praful Hinge,SRH,100,Bowler,N,0,,,,,0,
Prathamesh,Shardul Thakur,MI,350,All-rounder,N,,105,,,,,
Prathamesh,Shivam Mavi,SRH,440,Bowler,N,0,,,,,0,
Prathamesh,Umran Malik,KKR,120,Bowler,N,,0,,,,0,
Prathamesh,T Natarajan,DC,410,Bowler,N,,,,,106,,
Prathamesh,Shahbaz Ahmed,LSG,210,All-rounder,N,,,,,23,,
Prathamesh,Wanindu Hasaranga,LSG,660,All-rounder,N,,,,,0,,
Prathamesh,Ryan Rickelton,MI,610,Wicketkeeper,N,,167,,,,,
Prathamesh,Quinton De Kock,MI,810,Wicketkeeper,N,,0,,,,,
Prathamesh,Lockie Ferguson,PBKS,110,Bowler,N,,,,0,,,
Prathamesh,Vaibhav Sooryavanshi,RR,1500,Batter,N,,,116,,,,
Prathamesh,Phil Salt,RCB,1650,Wicketkeeper,N,48,,,,,,
Prathamesh,Heinrich Klaasen,SRH,1200,Wicketkeeper,N,71,,,,,88,
Prathamesh,Liam Livingstone,SRH,550,All-rounder,N,0,,,,,0,
Sudeesh,Anukul Roy,KKR,100,All-rounder,N,,25,,,,36,
Sudeesh,Avesh Khan,LSG,400,Bowler,N,,,,,0,,
Sudeesh,Blessing Muzarabani,KKR,100,Bowler,N,,6,,,,137,
Sudeesh,Deepak Chahar,MI,550,Bowler,N,,0,,,,,
Sudeesh,Krunal Pandya,RCB,600,All-rounder,N,-1,,,,,,
Sudeesh,Mayank Yadav,LSG,250,Bowler,N,,,,,0,,
Sudeesh,Mohammed Shami,LSG,650,Bowler,N,,,,,47,,
Sudeesh,Mohsin Khan,LSG,110,Bowler,N,,,,,75,,
Sudeesh,MS Dhoni,CSK,510,Wicketkeeper,N,,,0,,,,
Sudeesh,Rahul Chahar,CSK,180,Bowler,N,,,0,,,,
